product_id,name,category,target_audience,tone,selling_price,purchase_cost,packaging_fee,logistics_fee,overhead_fee,platform_tech_fee,tax,platform_commission_rate
P001,清透水感面膜,美妆,18-25岁女性、注重性价比和补水效果,性价比种草、成分党,99,35,3,5,2,3,2,0.05
P002,抗老紧致精华,美妆,30-40岁女性、注重抗衰和品质,精致人设、专业成分,399,140,8,10,6,10,8,0.05
P003,国货口红套装,美妆,18-24岁学生党、追求潮流和性价比,活泼种草、国货情怀,129,42,4,6,3,4,3,0.05
P004,多功能收纳盒套装,家居百货,25-40岁女性、注重收纳和生活品质,实用种草、场景化演示,159,58,6,12,4,5,4,0.05
P005,静音破壁料理机,家居百货,28-45岁家庭主妇、注重厨房效率,实用测评、烹饪场景,459,180,10,15,8,12,10,0.05
P006,懒人折叠置物架,家居百货,22-35岁租房一族、追求便利,痛点种草、幽默口播,79,26,3,8,2,3,2,0.05
P007,手工坚果礼盒,食品,18-30岁不限性别、追求健康零食,美食种草、沉浸式吃播,89,32,4,7,2,3,2,0.05
P008,低卡代餐奶昔,食品,25-38岁减脂人群、注重健康,知识科普、专业成分,169,55,5,9,4,6,5,0.05
P009,地方风味零食礼包,食品,20-35岁美食爱好者、追求新奇口味,沉浸式吃播、文化种草,69,22,3,6,2,2,2,0.05
P010,婴儿有机棉纱布巾,母婴,25-35岁新手妈妈、注重安全和材质,知识科普、经验分享,79,26,3,6,2,3,2,0.05
P011,益生菌婴幼儿辅食,母婴,27-38岁精细养育家长、注重营养,专业测评、权威背书,199,72,6,10,5,7,6,0.05
P012,萌趣儿童早教玩具,母婴,25-36岁家长、注重孩子成长,剧情演绎、萌娃出镜,159,55,7,10,4,6,5,0.05
P013,无线降噪耳机,数码,20-30岁音乐爱好者、追求音质,专业测评、沉浸式体验,499,195,8,12,10,15,12,0.05
P014,智能手环,数码,22-35岁科技尝鲜者、注重健康监测,开箱测评、场景化种草,299,110,6,10,6,9,7,0.05
P015,便携移动电源,数码,18-30岁学生党和上班族、追求性价比,幽默口播、实用测评,99,34,4,7,3,4,3,0.05
