influencer_id,name,category_tags,audience_profile,content_style,follower_count,historical_gmv_avg,historical_roi_avg,historical_completion_rate,commission_rate_min,commission_rate_max,schedule_available_from
INF001,小美的美妆日记,美妆、护肤,18-25岁女性为主、一二线城市、注重成分和性价比,幽默口播、快节奏种草,320000,85000,3.2,0.32,0.20,0.35,2026-08-05
INF002,阿雅美妆实验室,美妆、彩妆,20-30岁女性、精致人设、愿意为品质付费,专业测评、慢节奏讲解,580000,150000,4.1,0.28,0.25,0.40,2026-08-10
INF003,晓晓的护肤笔记,美妆、护肤、成分党,25-35岁女性、成分党、理性消费,知识科普、图文并茂,210000,62000,2.8,0.25,0.18,0.30,2026-08-03
INF004,小北彩妆日常,美妆、彩妆、国货,18-24岁学生党、下沉市场、追求性价比,活泼口播、剧情演绎,150000,38000,2.5,0.22,0.15,0.28,2026-08-20
INF005,美妆种草机阿俏,美妆、护肤、抗老,30-40岁女性、高消费力、注重抗衰,专业测评、权威背书,890000,320000,5.5,0.38,0.30,0.45,2026-08-08
INF006,小仙女化妆间,美妆、彩妆,18-22岁女性、Z世代、追求潮流,剧情短剧、场景化种草,420000,95000,3.0,0.26,0.20,0.32,2026-09-01
INF007,达人老K美妆测评,美妆、护肤、男士护肤,20-35岁不限性别、理性消费、注重成分表,开箱测评、成分解析,180000,45000,2.6,0.24,0.18,0.30,2026-08-06
INF008,糖糖的美妆小课堂,美妆、护肤、彩妆,18-28岁女性、学生党为主、预算有限,知识科普、幽默口播,95000,22000,2.1,0.19,0.15,0.25,2026-08-15
INF009,家居收纳师阿May,家居百货、收纳,25-40岁女性、有房一族、注重生活品质,场景化剧情、收纳教程,260000,72000,3.3,0.30,0.20,0.32,2026-08-04
INF010,懒人家居优选,家居百货、小家电,22-35岁不限性别、追求便利、租房一族,幽默口播、痛点引入,340000,88000,3.1,0.27,0.18,0.30,2026-08-12
INF011,老张的居家生活,家居百货、厨房用品,30-45岁已婚人群、家庭消费决策者,实用测评、慢节奏讲解,190000,54000,2.9,0.25,0.20,0.35,2026-08-07
INF012,小美家的日常,家居百货、家纺,25-38岁女性、注重舒适度、中高消费,场景化种草、剧情演绎,410000,110000,3.6,0.29,0.22,0.38,2026-08-25
INF013,极简生活家阿俊,家居百货、收纳、断舍离,25-35岁不限性别、追求极简、一二线城市,知识科普、生活方式分享,150000,40000,2.7,0.23,0.18,0.28,2026-08-09
INF014,厨房小当家,家居百货、厨房用品、小家电,28-45岁女性、家庭主妇、注重实用,实用测评、烹饪演示,270000,80000,3.2,0.28,0.20,0.33,2026-09-05
INF015,家居好物研究所,家居百货、装饰,22-32岁女性、租房改造、预算有限,开箱测评、性价比种草,120000,30000,2.3,0.21,0.15,0.26,2026-08-11
INF016,阿福居家好物,家居百货、清洁用品,25-40岁不限性别、注重效率、有一定消费力,幽默口播、痛点引入,530000,175000,4.2,0.33,0.25,0.40,2026-08-18
INF017,吃货小胖,食品、零食,18-30岁不限性别、学生党和上班族、追求美味,美食测评、沉浸式吃播,680000,190000,4.0,0.35,0.20,0.32,2026-08-05
INF018,健康轻食阿雯,食品、健康食品,25-38岁女性、健身人群、注重低卡,知识科普、场景化种草,230000,65000,2.9,0.27,0.22,0.35,2026-08-14
INF019,老饕说食,食品、地方特产,28-45岁不限性别、美食爱好者、愿意尝鲜,专业测评、文化科普,160000,42000,2.5,0.24,0.18,0.30,2026-08-08
INF020,甜品控小樱,食品、烘焙、甜品,18-28岁女性、甜品爱好者、悦己消费,剧情短剧、氛围感种草,310000,85000,3.1,0.29,0.20,0.33,2026-08-22
INF021,深夜食堂阿凯,食品、速食、夜宵,20-35岁不限性别、宅家一族、追求方便,沉浸式吃播、幽默口播,450000,120000,3.5,0.31,0.22,0.36,2026-08-06
INF022,妈妈厨房日记,食品、生鲜、调味品,28-45岁女性、家庭主妇、注重食材品质,实用测评、烹饪演示,140000,36000,2.4,0.22,0.16,0.28,2026-08-13
INF023,零食测评所,食品、零食、进口食品,18-26岁女性、Z世代、追求新奇口味,开箱测评、活泼口播,220000,58000,2.8,0.26,0.18,0.30,2026-09-02
INF024,轻食代餐研究员,食品、健康食品、代餐,25-40岁女性、减脂人群、理性消费,知识科普、专业测评,95000,24000,2.2,0.20,0.15,0.25,2026-08-10
INF025,辣妈育儿经,母婴、婴幼儿用品,25-38岁女性、新手妈妈、注重安全,知识科普、经验分享,380000,110000,3.4,0.30,0.20,0.35,2026-08-09
INF026,奶爸带娃日常,母婴、玩具、辅食,28-40岁不限性别、二胎家庭、注重性价比,剧情演绎、幽默口播,210000,58000,2.7,0.25,0.18,0.30,2026-08-16
INF027,萌娃穿搭馆,母婴、童装,25-35岁女性、注重孩子颜值、中高消费,场景化种草、萌娃出镜,290000,82000,3.2,0.28,0.22,0.36,2026-08-04
INF028,育儿专家王医生,母婴、婴幼儿用品、辅食,28-42岁女性、理性消费、信任专业背书,专业测评、权威科普,520000,175000,4.0,0.33,0.25,0.40,2026-08-19
INF029,二胎妈妈日记,母婴、玩具、童装,26-38岁女性、多孩家庭、追求性价比,剧情短剧、生活记录,170000,44000,2.6,0.23,0.16,0.28,2026-08-07
INF030,新手爸妈必看,母婴、婴幼儿用品,24-32岁不限性别、初为父母、信息焦虑,知识科普、实用测评,130000,32000,2.3,0.21,0.15,0.26,2026-08-27
INF031,宝宝辅食研究所,母婴、辅食,27-38岁女性、注重营养搭配、精细养育,场景化种草、烹饪演示,240000,68000,2.9,0.27,0.20,0.32,2026-08-11
INF032,亲子好物推荐官,母婴、玩具、童装,25-36岁女性、注重孩子成长、中高消费,幽默口播、剧情演绎,105000,26000,2.1,0.20,0.15,0.25,2026-08-05
INF033,数码老炮儿,数码、手机、电脑,20-35岁男性为主、科技爱好者、追求性能,专业测评、参数解析,610000,205000,4.3,0.36,0.22,0.35,2026-08-06
INF034,极客小Q,数码、智能家居,22-32岁不限性别、Z世代、追求潮流科技,开箱测评、场景化演示,340000,95000,3.3,0.30,0.20,0.32,2026-08-13
INF035,摄影器材阿KEN,数码、相机、摄影配件,25-40岁不限性别、摄影爱好者、专业需求,专业测评、实拍对比,180000,48000,2.7,0.25,0.18,0.30,2026-08-08
INF036,办公效率研究所,数码、办公设备,25-38岁职场人群、注重效率、理性消费,知识科普、实用测评,150000,38000,2.5,0.23,0.16,0.28,2026-08-21
INF037,耳机测评师小林,数码、音频设备,20-30岁不限性别、音乐爱好者、追求音质,专业测评、沉浸式体验,260000,72000,3.0,0.27,0.20,0.33,2026-08-05
INF038,游戏本推荐官,数码、电脑、游戏外设,18-28岁男性为主、游戏玩家、追求性能,开箱测评、幽默口播,420000,130000,3.7,0.32,0.22,0.36,2026-09-03
INF039,智能穿戴控,数码、智能家居、可穿戴设备,22-35岁不限性别、科技尝鲜者、中高消费,场景化种草、开箱测评,190000,52000,2.8,0.26,0.18,0.30,2026-08-10
INF040,数码小白入门指南,数码、手机、平板,18-25岁学生党、预算有限、追求性价比,知识科普、幽默口播,110000,27000,2.2,0.20,0.15,0.25,2026-08-17
